country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
RO,2008,F,Construction,225,0,7
RO,2008,D,"Electricity, gas, steam and air conditioning supply",1417,0.1,8
RO,2008,A,"Agriculture, forestry and fishing",8742,0.4,1
RO,2008,D,"Electricity, gas, steam and air conditioning supply",4304,0.2,2
RO,2008,G4677,Wholesale of waste and scrap,3,0,3
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),17553,0.8,4
RO,2008,B,Mining and quarrying,1215127,53,5
RO,2008,C,Manufacturing,1046183,45.6,6
RO,2008,F,Construction,100,0,7
RO,2006,EP_HH,Households,0,0,8
SI,2006,C,Manufacturing,69039,51.5,1
SI,2006,EP_HH,Households,4393,3.3,2
SI,2006,G-U_X_G4677,Services (except wholesale of waste and scrap),42005,31.3,3
SI,2006,B,Mining and quarrying,305,0.2,4
SI,2006,A,"Agriculture, forestry and fishing",26,0,5
SI,2006,F,Construction,2183,1.6,6
SI,2006,D,"Electricity, gas, steam and air conditioning supply",1729,1.3,7
SI,2006,G4677,Wholesale of waste and scrap,151,0.1,8
SI,2006,E,"Water supply, sewerage, waste management",14159,10.6,9
SI,2006,C,Manufacturing,80907,61,1
SI,2006,B,Mining and quarrying,74,0.1,2
SI,2006,A,"Agriculture, forestry and fishing",59,0,3
SI,2006,EP_HH,Households,4899,3.7,4
SI,2006,F,Construction,3561,2.7,5
SI,2006,G-U_X_G4677,Services (except wholesale of waste and scrap),26321,19.9,6
SI,2006,G4677,Wholesale of waste and scrap,23,0,7
SI,2006,D,"Electricity, gas, steam and air conditioning supply",2152,1.6,8
SI,2006,E,"Water supply, sewerage, waste management",14594,11,9
SI,2006,EP_HH,Households,9953,7.7,1
SI,2006,A,"Agriculture, forestry and fishing",95,0.1,2
SI,2006,G4677,Wholesale of waste and scrap,844,0.7,3
SI,2006,C,Manufacturing,75179,58.3,4
SI,2006,D,"Electricity, gas, steam and air conditioning supply",4780,3.7,5
SI,2006,F,Construction,2178,1.7,6
