country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
HU,2014,A,"Agriculture, forestry and fishing",7808,1.7,1
HU,2014,F,Construction,5276,1.2,2
HU,2014,C,Manufacturing,276505,60.6,3
HU,2014,B,Mining and quarrying,25379,5.6,4
HU,2014,EP_HH,Households,23931,5.2,5
HU,2014,G4677,Wholesale of waste and scrap,1417,0.3,6
HU,2014,D,"Electricity, gas, steam and air conditioning supply",12253,2.7,7
HU,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),103973,22.8,8
HU,2014,A,"Agriculture, forestry and fishing",8334,1.6,1
HU,2014,C,Manufacturing,323829,61.6,2
HU,2014,G4677,Wholesale of waste and scrap,2236,0.4,3
HU,2014,F,Construction,17127,3.3,4
HU,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),151286,28.8,5
HU,2014,B,Mining and quarrying,12273,2.3,6
HU,2014,D,"Electricity, gas, steam and air conditioning supply",10737,2,7
HU,2014,EP_HH,Households,0,0,8
HU,2014,C,Manufacturing,615801,55.8,1
HU,2014,D,"Electricity, gas, steam and air conditioning supply",47379,4.3,2
HU,2014,B,Mining and quarrying,41156,3.7,3
HU,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),337622,30.6,4
HU,2014,F,Construction,30662,2.8,5
HU,2014,A,"Agriculture, forestry and fishing",17190,1.6,6
HU,2014,G4677,Wholesale of waste and scrap,12832,1.2,7
HU,2014,EP_HH,Households,0,0,8
LT,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),69427,29,1
LT,2014,EP_HH,Households,61126,25.5,2
LT,2014,G4677,Wholesale of waste and scrap,4520,1.9,3
LT,2014,C,Manufacturing,38147,15.9,4
LT,2014,E,"Water supply, sewerage, waste management",30606,12.8,5
LT,2014,B,Mining and quarrying,254,0.1,6
LT,2014,D,"Electricity, gas, steam and air conditioning supply",23141,9.7,7
LT,2014,A,"Agriculture, forestry and fishing",1716,0.7,8
LT,2014,F,Construction,10431,4.4,9
LT,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),86413,33.5,1
LT,2014,EP_HH,Households,54193,21,2
LT,2014,F,Construction,48285,18.7,3
LT,2014,G4677,Wholesale of waste and scrap,3988,1.5,4
LT,2014,B,Mining and quarrying,314,0.1,5
LT,2014,E,"Water supply, sewerage, waste management",24991,9.7,6
LT,2014,C,Manufacturing,21216,8.2,7
LT,2014,A,"Agriculture, forestry and fishing",1823,0.7,8
